1,3
3,3
5,3
7,3
9,3
11,3
13,3
15,3
17,3
19,3
21,3
23,3
25,4
27,4
29,4
31,4
33,4
35,4
37,2
39,2
41,2
43,2
45,2
47,2
49,1
51,1
53,1
55,1
57,1
59,2
61,2
63,2
65,2
67,2
69,1
71,1
73,1
75,1
77,2
79,2
81,2
83,2
85,2
87,1
89,1
91,1
93,1
95,0
97,0
99,0
101,0
103,0
105,0
107,0
109,0
2,3
4,5
6,3
8,3
10,3
12,3
14,3
16,3
18,3
20,3
22,3
24,3
26,4
28,4
30,4
32,4
34,4
36,4
38,2
40,2
42,2
44,2
46,2
48,2
50,1
52,1
54,1
56,1
58,2
60,2
62,2
64,2
66,1
68,2
70,1
72,1
74,1
76,1
78,2
80,2
82,2
84,2
86,1
88,1
90,1
92,1
94,1
96,0
98,0
100,0
102,0
104,0
106,0
108,0
110,0
